Version, File Name, LOC, NAuth, NFix, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Age, Buggy
0, hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java, 36, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java, 232, 5, 0, 5, 51798, 1734, 22.899204, 53236, 1732, 23.534925, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java, 93, 6, 0, 6, 11482, 1734, 5.7067595, 13700, 1732, 6.809145, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java, 51, 2, 0, 2, 9651, 1734, 5.8278985, 11428, 1732, 6.900966, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java, 30, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java, 38, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java, 181, 4, 0, 4, 9687, 1734, 5.8145256, 11460, 1732, 6.8787513, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java, 148, 1, 0, 1, 138, 66, 13.8, 129, 66, 12.9, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java, 99, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java, 150, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java, 46, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java, 106, 5, 0, 5, 53800, 1734, 21.511395, 55165, 1732, 22.057177, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java, 228, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java, 99, 2, 0, 2, 9651, 1734, 5.8278985, 11428, 1732, 6.900966, 0, false
