Index, Version Name, Date
1, 0.9.0.1, 2013-12-06T00:00, 
2, 0.9.1-incubating, 2014-02-10T00:00, 
3, 0.9.2-incubating, 2014-06-25T00:00, 
4, 0.9.3, 2014-11-25T00:00, 
5, 0.9.4, 2015-03-25T00:00, 
6, 0.9.5, 2015-06-04T00:00, 
7, 0.10.0, 2015-11-05T00:00, 
8, 1.0.0, 2016-04-12T00:00, 
9, 0.10.1, 2016-05-05T00:00, 
10, 1.0.1, 2016-05-06T00:00, 
11, 1.0.2, 2016-08-10T00:00, 
12, 0.9.7, 2016-09-07T00:00, 
13, 0.10.2, 2016-09-14T00:00, 
14, 1.0.3, 2017-02-14T00:00, 
15, 1.1.0, 2017-03-29T00:00, 
16, 1.0.4, 2017-07-28T00:00, 
17, 1.1.1, 2017-08-01T00:00, 
18, 1.0.5, 2017-09-15T00:00, 
19, 1.0.6, 2018-02-14T00:00, 
20, 1.2.0, 2018-02-15T00:00, 
21, 1.1.3, 2018-06-04T00:00, 
22, 2.0.0, 2019-05-30T00:00, 
23, 1.2.3, 2019-07-19T00:00, 
24, 2.1.0, 2019-10-31T00:00, 
25, 2.4.0, 2022-03-25T00:00, 
